asn,prefix,as_path
401120,1.2.0.0/16,"(401110, 6939, 2152, 25)"
400916,1.2.0.0/16,"(400810, 174, 10886, 27)"
22603,1.2.0.0/16,"(400810, 174, 10886, 27)"
833,1.2.0.0/16,"(400810, 174, 10886, 27)"
14490,1.2.0.0/16,"(400529, 174, 10886, 27)"
19230,1.2.0.0/16,"(400517, 33490, 3356, 2152, 25)"
62864,1.2.0.0/16,"(400506, 17676, 3257, 10886, 27)"
27161,1.2.0.0/16,"(400409, 1299, 10886, 27)"
22280,1.2.0.0/16,"(400146, 174, 10886, 27)"
401457,1.2.0.0/16,"(399861, 6939, 2152, 25)"
400897,1.2.0.0/16,"(399486, 174, 10886, 27)"
400596,1.2.0.0/16,"(399486, 174, 10886, 27)"
399105,1.2.0.0/16,"(399486, 174, 10886, 27)"
200136,1.2.0.0/16,"(399486, 174, 10886, 27)"
399068,1.2.0.0/16,"(399226, 174, 10886, 27)"
47085,1.2.0.0/16,"(399226, 174, 10886, 27)"
398911,1.2.0.0/16,"(399078, 3356, 2152, 25)"
153560,1.2.0.0/16,"(398704, 174, 10886, 27)"
152330,1.2.0.0/16,"(398704, 174, 10886, 27)"
397710,1.2.0.0/16,"(398563, 3257, 10886, 27)"
1611,1.2.0.0/16,"(398563, 3257, 10886, 27)"
399296,1.2.0.0/16,"(398465, 174, 10886, 27)"
63127,1.2.0.0/16,"(398465, 174, 10886, 27)"
53958,1.2.0.0/16,"(398465, 174, 10886, 27)"
19712,1.2.0.0/16,"(398427, 174, 10886, 27)"
6932,1.2.0.0/16,"(398427, 174, 10886, 27)"
2738,1.2.0.0/16,"(398427, 174, 10886, 27)"
19431,1.2.0.0/16,"(397735, 174, 10886, 27)"
23540,1.2.0.0/16,"(397095, 174, 10886, 27)"
400830,1.2.0.0/16,"(397064, 3356, 2152, 25)"
26157,1.2.0.0/16,"(397031, 174, 10886, 27)"
18771,1.2.0.0/16,"(396422, 174, 10886, 27)"
2740,1.2.0.0/16,"(396304, 33576, 6461, 10886, 27)"
398888,1.2.0.0/16,"(396295, 174, 10886, 27)"
399824,1.2.0.0/16,"(395846, 3356, 2152, 25)"
397700,1.2.0.0/16,"(395748, 174, 10886, 27)"
401036,1.2.0.0/16,"(395719, 6461, 10886, 27)"
46634,1.2.0.0/16,"(395584, 3356, 2152, 25)"
27297,1.2.0.0/16,"(395571, 32505, 174, 10886, 27)"
19268,1.2.0.0/16,"(395571, 32505, 174, 10886, 27)"
398932,1.2.0.0/16,"(395567, 1299, 10886, 27)"
21921,1.2.0.0/16,"(395567, 1299, 10886, 27)"
30272,1.2.0.0/16,"(395561, 33576, 6461, 10886, 27)"
396158,1.2.0.0/16,"(395558, 9009, 174, 10886, 27)"
11408,1.2.0.0/16,"(395368, 3356, 2152, 25)"
19529,1.2.0.0/16,"(395348, 174, 10886, 27)"
19533,1.2.0.0/16,"(394899, 3356, 2152, 25)"
11294,1.2.0.0/16,"(394899, 3356, 2152, 25)"
273838,1.2.0.0/16,"(394684, 174, 10886, 27)"
273231,1.2.0.0/16,"(394684, 174, 10886, 27)"
272895,1.2.0.0/16,"(394684, 174, 10886, 27)"
271793,1.2.0.0/16,"(394684, 174, 10886, 27)"
270087,1.2.0.0/16,"(394684, 174, 10886, 27)"
269758,1.2.0.0/16,"(394684, 174, 10886, 27)"
26007,1.2.0.0/16,"(394621, 13367, 7922, 3257, 10886, 27)"
32018,1.2.0.0/16,"(394367, 174, 10886, 27)"
20082,1.2.0.0/16,"(394367, 174, 10886, 27)"
399500,1.2.0.0/16,"(394256, 174, 10886, 27)"
401328,1.2.0.0/16,"(394177, 3356, 2152, 25)"
399971,1.2.0.0/16,"(394177, 3356, 2152, 25)"
400145,1.2.0.0/16,"(394117, 3356, 2152, 25)"
63226,1.2.0.0/16,"(393954, 1828, 2152, 25)"
25639,1.2.0.0/16,"(393444, 6461, 10886, 27)"
19846,1.2.0.0/16,"(393444, 6461, 10886, 27)"
47078,1.2.0.0/16,"(393442, 174, 10886, 27)"
20417,1.2.0.0/16,"(393398, 174, 10886, 27)"
29779,1.2.0.0/16,"(393294, 174, 10886, 27)"
16929,1.2.0.0/16,"(393275, 3356, 2152, 25)"
27304,1.2.0.0/16,"(393238, 174, 10886, 27)"
23538,1.2.0.0/16,"(393238, 174, 10886, 27)"
329197,1.2.0.0/16,"(329429, 327693, 3741, 174, 10886, 27)"
329181,1.2.0.0/16,"(329276, 60171, 6762, 3257, 10886, 27)"
329561,1.2.0.0/16,"(329109, 174, 10886, 27)"
328581,1.2.0.0/16,"(329109, 174, 10886, 27)"
328289,1.2.0.0/16,"(329109, 174, 10886, 27)"
328258,1.2.0.0/16,"(329109, 174, 10886, 27)"
327990,1.2.0.0/16,"(329109, 174, 10886, 27)"
36928,1.2.0.0/16,"(329109, 174, 10886, 27)"
328808,1.2.0.0/16,"(329101, 6774, 3356, 2152, 25)"
55054,1.2.0.0/16,"(328867, 174, 10886, 27)"
329475,1.2.0.0/16,"(328858, 329101, 6774, 3356, 2152, 25)"
329047,1.2.0.0/16,"(328750, 37100, 174, 10886, 27)"
328925,1.2.0.0/16,"(328631, 37497, 174, 10886, 27)"
329020,1.2.0.0/16,"(328605, 6939, 2152, 25)"
328697,1.2.0.0/16,"(328605, 6939, 2152, 25)"
328586,1.2.0.0/16,"(328605, 6939, 2152, 25)"
328546,1.2.0.0/16,"(328605, 6939, 2152, 25)"
329518,1.2.0.0/16,"(328490, 6939, 2152, 25)"
329311,1.2.0.0/16,"(328490, 6939, 2152, 25)"
329192,1.2.0.0/16,"(328490, 6939, 2152, 25)"
329167,1.2.0.0/16,"(328490, 6939, 2152, 25)"
328953,1.2.0.0/16,"(328482, 60171, 6762, 3257, 10886, 27)"
329121,1.2.0.0/16,"(328400, 174, 10886, 27)"
329578,1.2.0.0/16,"(328366, 3356, 2152, 25)"
328113,1.2.0.0/16,"(328356, 6939, 2152, 25)"
329382,1.2.0.0/16,"(328271, 60171, 6762, 3257, 10886, 27)"
328301,1.2.0.0/16,"(328271, 60171, 6762, 3257, 10886, 27)"
329247,1.2.0.0/16,"(328270, 3741, 174, 10886, 27)"
329399,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
328923,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
328244,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
37430,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
37427,1.2.0.0/16,"(328107, 6762, 3257, 10886, 27)"
329570,1.2.0.0/16,"(327824, 37468, 174, 10886, 27)"
329515,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
328314,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
328120,1.2.0.0/16,"(327782, 3741, 174, 10886, 27)"
329294,1.2.0.0/16,"(327767, 3741, 174, 10886, 27)"
329066,1.2.0.0/16,"(327727, 174, 10886, 27)"
329010,1.2.0.0/16,"(327727, 174, 10886, 27)"
202023,1.2.0.0/16,"(327697, 174, 10886, 27)"
329505,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328902,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328798,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328651,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328526,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
328161,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
327946,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
327832,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
30896,1.2.0.0/16,"(327693, 3741, 174, 10886, 27)"
273211,1.2.0.0/16,"(273882, 3356, 2152, 25)"
262344,1.2.0.0/16,"(273772, 52468, 174, 10886, 27)"
262324,1.2.0.0/16,"(273683, 3356, 2152, 25)"
264551,1.2.0.0/16,"(273421, 174, 10886, 27)"
262947,1.2.0.0/16,"(273309, 8167, 3356, 2152, 25)"
273913,1.2.0.0/16,"(273067, 3356, 2152, 25)"
273146,1.2.0.0/16,"(273067, 3356, 2152, 25)"
274085,1.2.0.0/16,"(272991, 263725, 23520, 3356, 2152, 25)"
273948,1.2.0.0/16,"(272935, 23520, 3356, 2152, 25)"
266335,1.2.0.0/16,"(272786, 6762, 3257, 10886, 27)"
271367,1.2.0.0/16,"(272549, 14840, 6762, 3257, 10886, 27)"
268982,1.2.0.0/16,"(272174, 3356, 2152, 25)"
274072,1.2.0.0/16,"(394684, 174, 10886, 27)"
271580,1.2.0.0/16,"(271502, 52468, 174, 10886, 27)"
273792,1.2.0.0/16,"(271145, 264997, 6762, 3257, 10886, 27)"
266512,1.2.0.0/16,"(271145, 264997, 6762, 3257, 10886, 27)"
270909,1.2.0.0/16,"(271069, 271253, 6762, 3257, 10886, 27)"
268899,1.2.0.0/16,"(271062, 21574, 174, 10886, 27)"
269150,1.2.0.0/16,"(270776, 52468, 174, 10886, 27)"
265298,1.2.0.0/16,"(270664, 16735, 3356, 2152, 25)"
271363,1.2.0.0/16,"(270581, 16735, 3356, 2152, 25)"
15015,1.2.0.0/16,"(398563, 3257, 10886, 27)"
269546,1.2.0.0/16,"(270340, 174, 10886, 27)"
268295,1.2.0.0/16,"(270340, 174, 10886, 27)"
272370,1.2.0.0/16,"(270175, 6461, 10886, 27)"
265598,1.2.0.0/16,"(270126, 174, 10886, 27)"
274041,1.2.0.0/16,"(270052, 61512, 3356, 2152, 25)"
266795,1.2.0.0/16,"(270014, 6057, 174, 10886, 27)"
274117,1.2.0.0/16,"(394684, 174, 10886, 27)"
269771,1.2.0.0/16,"(394684, 174, 10886, 27)"
274082,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
272062,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
267704,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
265728,1.2.0.0/16,"(269783, 7049, 174, 10886, 27)"
