rasn,prefix,as_path
1,1.2.0.0/16,"(1, 11537, 10886, 27)"
2,1.2.0.0/16,"(2, 37628, 6939, 2152, 25)"
3,1.2.0.0/16,"(3, 293, 10886, 27)"
4,1.2.0.0/16,"(4, 400215, 174, 10886, 27)"
5,1.2.0.0/16,"(5, 3356, 10886, 27)"
6,1.2.0.0/16,"(6, 3356, 10886, 27)"
7,1.2.0.0/16,"(7, 786, 49544, 2152, 25)"
8,1.2.0.0/16,"(8, 4557, 6939, 2152, 25)"
9,1.2.0.0/16,"(9, 3356, 10886, 27)"
10,1.2.0.0/16,"(10, 263771, 174, 10886, 27)"
12,1.2.0.0/16,"(12, 286, 42, 10886, 27)"
13,1.2.0.0/16,"(13, 668, 49544, 2152, 25)"
14,1.2.0.0/16,"(14, 174, 10886, 27)"
16,1.2.0.0/16,"(16, 2153, 2152, 25)"
17,1.2.0.0/16,"(17, 19782, 293, 10886, 27)"
18,1.2.0.0/16,"(18, 174, 10886, 27)"
19,1.2.0.0/16,"(19, 3356, 10886, 27)"
20,1.2.0.0/16,"(20, 174, 10886, 27)"
21,1.2.0.0/16,"(21, 5650, 293, 10886, 27)"
22,1.2.0.0/16,"(22, 668, 49544, 2152, 25)"
24,1.2.0.0/16,"(24, 293, 10886, 27)"
25,1.2.0.0/16,(25)
26,1.2.0.0/16,"(26, 1299, 10886, 27)"
27,1.2.0.0/16,(27)
29,1.2.0.0/16,"(29, 174, 10886, 27)"
30,1.2.0.0/16,"(30, 7018, 3257, 10886, 27)"
31,1.2.0.0/16,"(31, 2152, 25)"
32,1.2.0.0/16,"(32, 46749, 2152, 25)"
33,1.2.0.0/16,"(33, 7018, 3257, 10886, 27)"
35,1.2.0.0/16,"(35, 3356, 10886, 27)"
37,1.2.0.0/16,"(37, 668, 49544, 2152, 25)"
38,1.2.0.0/16,"(38, 11537, 10886, 27)"
42,1.2.0.0/16,"(42, 10886, 27)"
44,1.2.0.0/16,"(44, 293, 2516, 2152, 25)"
45,1.2.0.0/16,"(45, 293, 2516, 2152, 25)"
46,1.2.0.0/16,"(46, 6939, 2152, 25)"
47,1.2.0.0/16,"(47, 226, 293, 10886, 27)"
48,1.2.0.0/16,"(48, 668, 49544, 2152, 25)"
49,1.2.0.0/16,"(49, 3356, 10886, 27)"
50,1.2.0.0/16,"(50, 293, 2516, 2152, 25)"
52,1.2.0.0/16,"(52, 2152, 25)"
55,1.2.0.0/16,"(55, 174, 10886, 27)"
57,1.2.0.0/16,"(57, 6461, 10886, 27)"
59,1.2.0.0/16,"(59, 293, 10886, 27)"
62,1.2.0.0/16,"(62, 6939, 2152, 25)"
63,1.2.0.0/16,"(63, 10578, 293, 10886, 27)"
65,1.2.0.0/16,"(65, 14041, 2152, 25)"
69,1.2.0.0/16,"(69, 55, 174, 10886, 27)"
71,1.2.0.0/16,"(71, 7018, 3257, 10886, 27)"
72,1.2.0.0/16,"(72, 7575, 2152, 25)"
73,1.2.0.0/16,"(73, 101, 293, 10886, 27)"
77,1.2.0.0/16,"(77, 293, 10886, 27)"
78,1.2.0.0/16,"(78, 3300, 6939, 2152, 25)"
80,1.2.0.0/16,"(80, 3356, 10886, 27)"
81,1.2.0.0/16,"(81, 174, 10886, 27)"
82,1.2.0.0/16,"(82, 3356, 10886, 27)"
84,1.2.0.0/16,"(84, 668, 49544, 2152, 25)"
85,1.2.0.0/16,"(85, 3356, 10886, 27)"
87,1.2.0.0/16,"(87, 19782, 293, 10886, 27)"
88,1.2.0.0/16,"(88, 21976, 32590, 2152, 25)"
89,1.2.0.0/16,"(89, 668, 49544, 2152, 25)"
91,1.2.0.0/16,"(91, 174, 10886, 27)"
92,1.2.0.0/16,"(92, 174, 10886, 27)"
93,1.2.0.0/16,"(93, 2914, 293, 10886, 27)"
97,1.2.0.0/16,"(97, 286, 10886, 27)"
98,1.2.0.0/16,"(98, 174, 10886, 27)"
100,1.2.0.0/16,"(100, 16158, 174, 10886, 27)"
101,1.2.0.0/16,"(101, 293, 10886, 27)"
103,1.2.0.0/16,"(103, 293, 10886, 27)"
104,1.2.0.0/16,"(104, 3356, 10886, 27)"
106,1.2.0.0/16,"(106, 3356, 10886, 27)"
109,1.2.0.0/16,"(109, 8220, 2152, 25)"
111,1.2.0.0/16,"(111, 174, 10886, 27)"
112,1.2.0.0/16,"(112, 14907, 2152, 25)"
116,1.2.0.0/16,"(116, 6461, 10886, 27)"
121,1.2.0.0/16,"(121, 668, 49544, 2152, 25)"
122,1.2.0.0/16,"(122, 6939, 2152, 25)"
125,1.2.0.0/16,"(125, 3356, 10886, 27)"
127,1.2.0.0/16,"(127, 226, 293, 10886, 27)"
131,1.2.0.0/16,"(131, 2152, 25)"
137,1.2.0.0/16,"(137, 49544, 2152, 25)"
156,1.2.0.0/16,"(156, 174, 10886, 27)"
157,1.2.0.0/16,"(157, 7018, 3257, 10886, 27)"
158,1.2.0.0/16,"(158, 1299, 10886, 27)"
159,1.2.0.0/16,"(159, 600, 14907, 2152, 25)"
160,1.2.0.0/16,"(160, 293, 10886, 27)"
161,1.2.0.0/16,"(161, 3356, 10886, 27)"
166,1.2.0.0/16,"(166, 3356, 10886, 27)"
167,1.2.0.0/16,"(167, 22742, 49544, 2152, 25)"
173,1.2.0.0/16,"(173, 49544, 2152, 25)"
174,1.2.0.0/16,"(174, 10886, 27)"
186,1.2.0.0/16,"(186, 22925, 6939, 2152, 25)"
187,1.2.0.0/16,"(187, 42, 10886, 27)"
188,1.2.0.0/16,"(188, 174, 10886, 27)"
194,1.2.0.0/16,"(194, 14041, 2152, 25)"
195,1.2.0.0/16,"(195, 293, 10886, 27)"
196,1.2.0.0/16,"(196, 3356, 10886, 27)"
200,1.2.0.0/16,"(200, 205654, 35575, 6939, 2152, 25)"
205,1.2.0.0/16,"(205, 21976, 32590, 2152, 25)"
206,1.2.0.0/16,"(206, 3356, 10886, 27)"
209,1.2.0.0/16,"(209, 3257, 10886, 27)"
210,1.2.0.0/16,"(210, 4181, 11164, 2152, 25)"
213,1.2.0.0/16,"(213, 668, 49544, 2152, 25)"
217,1.2.0.0/16,"(217, 57, 6461, 10886, 27)"
223,1.2.0.0/16,"(223, 3356, 10886, 27)"
224,1.2.0.0/16,"(224, 49544, 2152, 25)"
225,1.2.0.0/16,"(225, 3356, 10886, 27)"
226,1.2.0.0/16,"(226, 293, 10886, 27)"
228,1.2.0.0/16,"(228, 668, 49544, 2152, 25)"
229,1.2.0.0/16,"(229, 231, 11164, 2152, 25)"
231,1.2.0.0/16,"(231, 11164, 2152, 25)"
237,1.2.0.0/16,"(237, 293, 10886, 27)"
239,1.2.0.0/16,"(239, 26677, 6939, 2152, 25)"
243,1.2.0.0/16,"(243, 32787, 293, 10886, 27)"
249,1.2.0.0/16,"(249, 174, 10886, 27)"
250,1.2.0.0/16,"(250, 6939, 2152, 25)"
252,1.2.0.0/16,"(252, 668, 49544, 2152, 25)"
254,1.2.0.0/16,"(254, 2686, 3257, 10886, 27)"
257,1.2.0.0/16,"(257, 2152, 25)"
260,1.2.0.0/16,"(260, 4637, 42, 10886, 27)"
264,1.2.0.0/16,"(264, 174, 10886, 27)"
267,1.2.0.0/16,"(267, 6939, 2152, 25)"
268,1.2.0.0/16,"(268, 10886, 27)"
271,1.2.0.0/16,"(271, 6509, 293, 10886, 27)"
